0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:14 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:14 +0530] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:14 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:14 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:14 +0530] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:15 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:15 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:16 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:17 +0530] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:24 +0530] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:24 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:24 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:24 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:30 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:30 +0530] "GET /medicare/json/data/all/products?_=1660977690340 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:30 +0530] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:30 +0530] "GET /medicare/ HTTP/1.1" 200 11066
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:31 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:31 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:32 +0530] "GET /medicare/show/all/products HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:32 +0530] "GET /medicare/json/data/all/products?_=1660977692569 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:39 +0530] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:40 +0530] "GET /medicare/cart/show?result=added HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:45 +0530] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:46 +0530] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:46 +0530] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [20/Aug/2022:12:11:48 +0530] "GET /medicare/cart/checkout?execution=e1s1&_eventId_addressSelection&shippingId=6 HTTP/1.1" 302 -
